panel,series,x_cm_mm,log_probability_ratio,Rg_over_lc,Re_over_lc,log10_probability_ratio,tau_tr_min,probability_density_per_min,fitted_tau_c_min,temperature_C,mean_tau_tr_min,standard_error_min,n_events,fit_error_min
A,living worms 10 C over 20 C,19.9322,-0.940036,,,,,,,,,,,
A,living worms 10 C over 20 C,20.7458,-0.791697,,,,,,,,,,,
A,living worms 10 C over 20 C,21.5593,-0.98294,,,,,,,,,,,
A,living worms 10 C over 20 C,22.3729,-1.0108,,,,,,,,,,,
A,living worms 10 C over 20 C,23.1864,-1.09737,,,,,,,,,,,
A,living worms 10 C over 20 C,24,-1.24952,,,,,,,,,,,
A,living worms 10 C over 20 C,24.8136,-0.986356,,,,,,,,,,,
A,living worms 10 C over 20 C,25.6271,-0.723994,,,,,,,,,,,
A,living worms 10 C over 20 C,26.4407,-0.7922,,,,,,,,,,,
A,living worms 10 C over 20 C,27.2542,-0.619266,,,,,,,,,,,
A,living worms 10 C over 20 C,28.0678,-0.671088,,,,,,,,,,,
A,living worms 10 C over 20 C,28.8814,-0.637733,,,,,,,,,,,
A,living worms 10 C over 20 C,29.6949,-0.407621,,,,,,,,,,,
A,living worms 10 C over 20 C,30.5085,-0.70867,,,,,,,,,,,
A,living worms 10 C over 20 C,31.322,-0.837955,,,,,,,,,,,
A,living worms 10 C over 20 C,32.1356,-0.781716,,,,,,,,,,,
A,living worms 10 C over 20 C,32.9492,-0.740356,,,,,,,,,,,
A,living worms 10 C over 20 C,33.7627,-0.614568,,,,,,,,,,,
A,living worms 10 C over 20 C,34.5763,-0.528533,,,,,,,,,,,
A,living worms 10 C over 20 C,35.3898,-0.544081,,,,,,,,,,,
A,living worms 10 C over 20 C,36.2034,-0.343685,,,,,,,,,,,
A,living worms 10 C over 20 C,37.0169,-0.498468,,,,,,,,,,,
A,living worms 10 C over 20 C,37.8305,-0.461326,,,,,,,,,,,
A,living worms 10 C over 20 C,38.6441,-0.250101,,,,,,,,,,,
A,living worms 10 C over 20 C,39.4576,-0.457303,,,,,,,,,,,
A,living worms 10 C over 20 C,40.2712,-0.461655,,,,,,,,,,,
A,living worms 10 C over 20 C,41.0847,-0.424555,,,,,,,,,,,
A,living worms 10 C over 20 C,41.8983,-0.531331,,,,,,,,,,,
A,living worms 10 C over 20 C,42.7119,-0.836053,,,,,,,,,,,
A,living worms 10 C over 20 C,43.5254,-0.623141,,,,,,,,,,,
A,living worms 10 C over 20 C,44.339,-0.648254,,,,,,,,,,,
A,living worms 10 C over 20 C,45.1525,-0.408158,,,,,,,,,,,
A,living worms 10 C over 20 C,45.9661,-0.229143,,,,,,,,,,,
A,living worms 10 C over 20 C,46.7797,-0.253455,,,,,,,,,,,
A,living worms 10 C over 20 C,47.5932,-0.199232,,,,,,,,,,,
A,living worms 30 C over 20 C,0.40678,0.185901,,,,,,,,,,,
A,living worms 30 C over 20 C,1.22034,0.29016,,,,,,,,,,,
A,living worms 30 C over 20 C,2.0339,0.465615,,,,,,,,,,,
A,living worms 30 C over 20 C,2.84746,0.640493,,,,,,,,,,,
A,living worms 30 C over 20 C,3.66102,0.676213,,,,,,,,,,,
A,living worms 30 C over 20 C,4.47458,0.441112,,,,,,,,,,,
A,living worms 30 C over 20 C,5.28814,0.323145,,,,,,,,,,,
A,living worms 30 C over 20 C,6.10169,0.0392294,,,,,,,,,,,
A,living worms 30 C over 20 C,6.91525,-0.343897,,,,,,,,,,,
A,living worms 30 C over 20 C,7.72881,-0.653482,,,,,,,,,,,
A,living worms 30 C over 20 C,8.54237,-0.649601,,,,,,,,,,,
A,living worms 30 C over 20 C,9.35593,-0.840193,,,,,,,,,,,
A,living worms 30 C over 20 C,10.1695,-0.718716,,,,,,,,,,,
A,living worms 30 C over 20 C,10.9831,-0.811046,,,,,,,,,,,
A,living worms 30 C over 20 C,11.7966,-0.766864,,,,,,,,,,,
A,living worms 30 C over 20 C,12.6102,-0.748045,,,,,,,,,,,
A,living worms 30 C over 20 C,13.4237,-0.756994,,,,,,,,,,,
A,living worms 30 C over 20 C,14.2373,-0.816275,,,,,,,,,,,
A,living worms 30 C over 20 C,15.0508,-0.8349,,,,,,,,,,,
A,living worms 30 C over 20 C,15.8644,-0.770632,,,,,,,,,,,
A,living worms 30 C over 20 C,16.678,-0.68459,,,,,,,,,,,
A,living worms 30 C over 20 C,17.4915,-0.571695,,,,,,,,,,,
A,living worms 30 C over 20 C,18.3051,-0.878832,,,,,,,,,,,
A,living worms 30 C over 20 C,19.1186,-0.838559,,,,,,,,,,,
A,living worms 30 C over 20 C,19.9322,-0.981494,,,,,,,,,,,
A,living worms 30 C over 20 C,20.7458,-0.900825,,,,,,,,,,,
A,living worms 30 C over 20 C,21.5593,-0.933026,,,,,,,,,,,
A,living worms 30 C over 20 C,22.3729,-1.08332,,,,,,,,,,,
A,living worms 30 C over 20 C,23.1864,-1.15026,,,,,,,,,,,
A,living worms 30 C over 20 C,24,-0.957637,,,,,,,,,,,
A,living worms 30 C over 20 C,24.8136,-0.584819,,,,,,,,,,,
A,living worms 30 C over 20 C,25.6271,-0.244063,,,,,,,,,,,
A,living worms 30 C over 20 C,26.4407,0.242879,,,,,,,,,,,
A,living worms 30 C over 20 C,27.2542,0.0973283,,,,,,,,,,,
A,living worms 30 C over 20 C,28.0678,-0.456104,,,,,,,,,,,
A,living worms 30 C over 20 C,28.8814,-0.484769,,,,,,,,,,,
A,living worms 30 C over 20 C,29.6949,-0.263901,,,,,,,,,,,
A,living worms 30 C over 20 C,30.5085,-0.468966,,,,,,,,,,,
A,living worms 30 C over 20 C,31.322,-0.553182,,,,,,,,,,,
A,living worms 30 C over 20 C,32.1356,-0.31933,,,,,,,,,,,
A,living worms 30 C over 20 C,32.9492,-0.334318,,,,,,,,,,,
A,living worms 30 C over 20 C,33.7627,-0.353155,,,,,,,,,,,
A,living worms 30 C over 20 C,34.5763,-0.277594,,,,,,,,,,,
A,living worms 30 C over 20 C,35.3898,-0.223311,,,,,,,,,,,
A,living worms 30 C over 20 C,36.2034,-0.152702,,,,,,,,,,,
A,living worms 30 C over 20 C,37.0169,-0.100642,,,,,,,,,,,
A,living worms 30 C over 20 C,37.8305,-0.285082,,,,,,,,,,,
A,living worms 30 C over 20 C,38.6441,-0.265258,,,,,,,,,,,
A,living worms 30 C over 20 C,39.4576,-0.148831,,,,,,,,,,,
A,living worms 30 C over 20 C,40.2712,-0.115287,,,,,,,,,,,
A,living worms 30 C over 20 C,41.0847,-0.357962,,,,,,,,,,,
A,living worms 30 C over 20 C,41.8983,-0.142411,,,,,,,,,,,
A,living worms 30 C over 20 C,42.7119,-0.394885,,,,,,,,,,,
A,living worms 30 C over 20 C,43.5254,-0.133807,,,,,,,,,,,
A,living worms 30 C over 20 C,44.339,-0.0298921,,,,,,,,,,,
A,living worms 30 C over 20 C,45.1525,0.174856,,,,,,,,,,,
A,living worms 30 C over 20 C,45.9661,0.0432254,,,,,,,,,,,
A,living worms 30 C over 20 C,46.7797,0.276675,,,,,,,,,,,
A,living worms 30 C over 20 C,47.5932,0.247258,,,,,,,,,,,
B,living worms 10 C over 20 C,,,0.051,0.071,0.270059,,,,,,,,
B,living worms 10 C over 20 C,,,0.051,0.093,0.28706,,,,,,,,
B,living worms 10 C over 20 C,,,0.051,0.115,0.287328,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.027,0.201108,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.049,0.232301,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.071,0.26939,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.093,0.294319,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.115,0.293433,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.137,0.273543,,,,,,,,
B,living worms 10 C over 20 C,,,0.057,0.159,0.232794,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.027,0.179545,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.049,0.196716,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.071,0.231143,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.093,0.265091,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.115,0.280266,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.137,0.270218,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.159,0.22756,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.181,0.164742,,,,,,,,
B,living worms 10 C over 20 C,,,0.063,0.203,0.101529,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.005,0.155325,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.027,0.17364,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.049,0.179007,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.071,0.192929,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.093,0.213695,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.115,0.239992,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.137,0.242317,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.159,0.20177,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.181,0.147981,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.203,0.110194,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.225,0.101751,,,,,,,,
B,living worms 10 C over 20 C,,,0.069,0.247,0.110592,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.005,0.159084,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.027,0.155316,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.049,0.158149,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.071,0.18039,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.093,0.194727,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.115,0.213949,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.137,0.215662,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.159,0.18155,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.181,0.146492,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.203,0.1358,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.225,0.145885,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.247,0.147862,,,,,,,,
B,living worms 10 C over 20 C,,,0.075,0.269,0.107227,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.005,0.180507,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.027,0.160552,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.049,0.167159,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.071,0.208574,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.093,0.232702,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.115,0.237276,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.137,0.22396,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.159,0.195523,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.181,0.173898,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.203,0.172378,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.225,0.188693,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.247,0.190449,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.269,0.138283,,,,,,,,
B,living worms 10 C over 20 C,,,0.081,0.291,0.0575383,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.005,0.20105,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.027,0.186918,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.049,0.20935,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.071,0.259911,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.093,0.290151,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.115,0.290623,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.137,0.269593,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.159,0.246841,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.181,0.230714,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.203,0.230228,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.225,0.249575,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.247,0.251421,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.269,0.189957,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.291,0.0963188,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.313,0.016487,,,,,,,,
B,living worms 10 C over 20 C,,,0.087,0.335,-0.0229941,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.005,0.237717,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.027,0.223915,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.049,0.249655,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.071,0.302856,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.093,0.341183,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.115,0.348985,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.137,0.333753,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.159,0.311704,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.181,0.289229,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.203,0.288871,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.225,0.313746,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.247,0.315995,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.269,0.252287,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.291,0.153979,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.313,0.0662631,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.335,0.00421293,,,,,,,,
B,living worms 10 C over 20 C,,,0.093,0.357,-0.0567042,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.005,0.31602,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.027,0.289817,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.049,0.289547,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.071,0.318155,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.093,0.361465,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.115,0.391331,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.137,0.395227,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.159,0.369743,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.181,0.334113,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.203,0.331796,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.225,0.362965,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.247,0.372299,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.269,0.319437,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.291,0.224915,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.313,0.123998,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.335,0.0321368,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.357,-0.0537342,,,,,,,,
B,living worms 10 C over 20 C,,,0.099,0.379,-0.148649,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.005,0.364016,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.027,0.327946,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.049,0.300007,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.071,0.29804,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.093,0.339237,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.115,0.394503,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.137,0.424138,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.159,0.417905,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.181,0.396136,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.203,0.394286,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.225,0.415404,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.247,0.413875,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.269,0.361688,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.291,0.28189,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.313,0.185987,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.335,0.0830971,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.357,-0.013958,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.379,-0.105533,,,,,,,,
B,living worms 10 C over 20 C,,,0.105,0.401,-0.18879,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.005,0.330068,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.027,0.288731,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.049,0.247983,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.071,0.243784,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.093,0.293853,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.115,0.373096,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.137,0.439679,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.159,0.460567,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.181,0.454059,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.203,0.448756,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.225,0.444386,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.247,0.415171,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.269,0.356188,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.291,0.29473,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.313,0.219917,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.335,0.126511,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.357,0.024717,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.379,-0.0660914,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.401,-0.132345,,,,,,,,
B,living worms 10 C over 20 C,,,0.111,0.423,-0.185963,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.005,0.28021,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.027,0.232362,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.049,0.180419,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.071,0.182032,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.093,0.252268,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.115,0.351708,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.137,0.441657,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.159,0.468558,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.181,0.461535,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.203,0.455491,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.225,0.437869,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.247,0.395868,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.269,0.339655,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.291,0.286008,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.313,0.221657,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.335,0.137955,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.357,0.0348875,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.379,-0.0520999,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.401,-0.0956436,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.423,-0.124272,,,,,,,,
B,living worms 10 C over 20 C,,,0.117,0.445,-0.173282,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.005,0.267966,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.027,0.213232,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.049,0.150325,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.071,0.155444,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.093,0.236328,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.115,0.326357,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.137,0.399724,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.159,0.422754,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.181,0.423183,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.203,0.426829,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.225,0.414152,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.247,0.375357,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.269,0.320899,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.291,0.267739,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.313,0.210426,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.335,0.138007,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.357,0.0458241,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.379,-0.0282613,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.401,-0.0584828,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.423,-0.0766002,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.445,-0.114537,,,,,,,,
B,living worms 10 C over 20 C,,,0.123,0.467,-0.155046,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.005,0.285099,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.027,0.22311,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.049,0.144104,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.071,0.145805,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.093,0.220033,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.115,0.291508,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.137,0.343205,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.159,0.360489,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.181,0.362732,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.203,0.365917,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.225,0.36514,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.247,0.334511,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.269,0.279,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.291,0.232655,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.313,0.184664,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.335,0.125454,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.357,0.0492607,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.379,-0.0169113,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.401,-0.0455401,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.423,-0.0598295,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.445,-0.0897172,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.467,-0.132396,,,,,,,,
B,living worms 10 C over 20 C,,,0.129,0.489,-0.171431,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.005,0.243647,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.027,0.203321,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.049,0.123996,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.071,0.104247,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.093,0.155108,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.115,0.235017,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.137,0.295222,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.159,0.30566,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.181,0.295197,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.203,0.286895,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.225,0.294831,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.247,0.282419,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.269,0.244665,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.291,0.200566,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.313,0.143376,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.335,0.0893609,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.357,0.0243698,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.379,-0.0399057,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.401,-0.0665145,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.423,-0.0692479,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.445,-0.0802878,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.467,-0.111844,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.489,-0.147941,,,,,,,,
B,living worms 10 C over 20 C,,,0.135,0.511,-0.179673,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.005,0.169082,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.027,0.16442,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.049,0.0896368,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.071,0.0139725,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.093,0.0279457,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.115,0.135239,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.137,0.230406,,,,,,,,
B,living worms 10 C over 20 C,,,0.141,0.159,0.252222,,,,,,,,
